date,type,name
2021-09-14,quadrant,Gateway 
2021-05-04,quadrant,Foundation
2021-02-09,quadrant,Reign
2020-10-14,quadrant,Phoenix
2020-07-14,quadrant,Zenith
2020-04-06,quadrant,Eclipse
2020-01-16,quadrant,Fight or Flight
2019-11-26,expansion,Invasion Chapter 2
2019-05-28,expansion,Invasion
2018-11-13,expansion,Onslaught
2018-05-29,expansion,Into The Abyss
2017-10-24,expansion,Lifeblood
2016-11-15,expansion,Ascension
2016-04-27,expansion,Citadel
2015-12-08,expansion,Operation Frostline
2015-11-03,expansion,Parallax
2015-07-07,expansion,Aegis
2015-03-24,expansion,Scylla
2014-12-09,expansion,Rhea
2014-11-04,expansion,Phoebe
2014-07-22,expansion,Crius
2014-04-28,expansion,Rubicon 1.4
2013-11-19,expansion,Rubicon 1.0
2013-06-04,expansion,Odyssey 1.0
2012-12-04,expansion,Retribution 1.0
2012-05-22,expansion,Inferno 1.0
2012-04-24,expansion,Escalation
2011-11-29,expansion,Crucible
2011-06-21,expansion,Incarna
2010-11-30,expansion,Incursion
2010-05-26,expansion,Tyrannis
2009-12-01,expansion,Dominion
2009-03-10,expansion,Apocrypha
2008-11-11,expansion,Quantum Rise
2008-06-10,expansion,Empyrean Age
2007-12-05,expansion,Trinity
2007-06-19,expansion,Revelations II
2006-11-28,expansion,Revelations
2005-12-16,expansion,Red Moon Rising
2005-07-05,expansion,Cold War
2004-11-24,expansion,Exodus
2003-12-17,expansion,Castor
