date,produced,mining.value,destroyed
2019-01-01,5087790786105.92,1831586444220.8345,1286211647406.05
2019-01-02,5371246146080.214,1812047959736.3933,1193095455106.14
2019-01-03,5016524195983.46,1994656413842.2139,1138683309504.35
2019-01-04,5261973623802.353,1919876399066.3857,1326690437943.73
2019-01-05,6386349959494.487,1835361961923.932,1880315842897.24
2019-01-06,4935637351097.462,1869786789855.062,1485338460810.96
2019-01-07,5411200433101.448,1800732333811.392,1249859623236.58
2019-01-08,5013481508071.064,1880690590205.9624,1034727091939.02
2019-01-09,4790397006354.708,1817394975300.652,998775923719.2
2019-01-10,5527709629172.703,1836186071369.521,1180250493055.9
2019-01-11,5472070814145.465,1861351405644.6538,1011792696747.99
2019-01-12,5024828298736.625,2019346196338.574,1985844939572.98
2019-01-13,5202831303995.837,1591990497830.4463,1871783935528.97
2019-01-14,5466848193525.921,1793237786466.609,1078138817300.9
2019-01-15,4963709037671.387,1715571494733.4055,1000039324733.22
2019-01-16,4993979081883.299,1782364522803.5564,1772506361575.98
2019-01-17,5172285170179.135,1814676433340.8403,1105042374662.93
2019-01-18,5231605678224.236,1883300945852.289,1172108430046.72
2019-01-19,4932811145125.119,2202408096176.0503,1627619483818.12
2019-01-20,5339575742520.71,2154601288776.2031,1713175335605.8
2019-01-21,5195060711058.038,2138433986512.7612,1197968806799.13
2019-01-22,4713141626931.859,1947046936459.0537,982486967543.5
2019-01-23,4773251232987.027,1860091898351.5063,1114796158888.06
2019-01-24,5531142361140.378,1954350327221.9907,1096896665900.26
2019-01-25,5047847798462.959,1996883838146.8423,979118698930.57
2019-01-26,5224164968145.064,2236366382102.016,1934939165424.06
2019-01-27,6139130713751.198,2124282843171.663,1419752305897.61
2019-01-28,5010044322482.037,1891389459331.7502,1004576133117.55
2019-01-29,5621797553460.257,1899372100944.4446,1369660226342.56
2019-01-30,5109967711067.915,1996611104951.6868,982781081256.01
2019-01-31,5081656823280.1455,2091143206256.9373,1069113316763.51
2019-02-01,5137470825704.676,2088730354603.8123,995415351053.54
2019-02-02,5701404367521.754,2141993462758.8274,1891683063238.49
2019-02-03,5356472460282.895,2287834664461.626,1579143929544.61
2019-02-04,5824652185010.693,1884626373046.467,898101375994.67
2019-02-05,4597418378669.102,1689507371761.9648,1089858209459.44
2019-02-06,5171580155859.947,2021834286121.1147,1090552099399.6
2019-02-07,5026658791409.464,1952676915151.707,947910979611.59
2019-02-08,5564884053002.48,1986179113107.7778,956044975046.16
2019-02-09,5674159103848.011,2285265729996.3745,1663168772375.24
2019-02-10,5430582409215.039,2576724078194.8726,1250319325908.04
2019-02-11,5166951715150.078,1978077198418.234,933457445847.25
2019-02-12,5438029688624.561,2042741635106.3906,1118918117035.9
2019-02-13,5234850735262.343,,
2019-02-14,5117116496519.713,1924568501661.5388,901033661307.17
2019-02-15,4842352495015.734,2058352812967.5952,961719771159.57
2019-02-16,5279150426028.826,2295518067657.182,1756453471590.47
2019-02-17,5382081452978.224,2279562870258.8413,1698124388064.17
2019-02-18,5460200476840.182,2083754624497.9905,957741104787.73
2019-02-19,5128654002393.086,2030446241740.6243,1042477355025.67
2019-02-20,5532782902277.13,2237658588122.7993,1031503557545.99
2019-02-21,4947000268043.456,1770771180616.452,992188360458.34
2019-02-22,4930506387552.559,1718444819037.1,1056483238284.1
2019-02-23,4730396470448.674,1892185896612.9717,1608461118324.86
2019-02-24,4742965911498.804,1982568750263.0688,1693374993102.96
2019-02-25,4844039999559.325,2554593139168.579,959431401637.49
2019-02-26,4889749219462.61,2519760973980.8267,1049904753080.04
2019-02-27,5068478992703.15,1930212781824.3743,1239496329230.96
2019-02-28,5123519515195.354,1896541705899.3435,1110000427486.31
2019-03-01,4690350083573.152,1713147482395.8274,1207887644626.07
2019-03-02,5737592458209.555,1949470204728.7751,2005909504538.3
2019-03-03,5753310554853.07,1896470143057.6445,1830906086400.22
2019-03-04,5122117628749.4375,1714768088786.495,966249716013.35
2019-03-05,5969893194845.121,1715323444880.588,1055518974605.96
2019-03-06,4534071381939.502,1786136366496.7068,1187439821553.69
2019-03-07,5377702347708.361,1809957859779.2798,1007153236297.79
2019-03-08,5070323730449.949,1802981424270.1604,1023576151939.31
2019-03-09,5652094330649.095,2182449764333.797,1464990461906.16
2019-03-10,5828450246781.719,2213993043582.919,1457266452164.09
2019-03-11,5318358479634.245,1965013147766.7837,844640307827.74
2019-03-12,4908131517968.696,2200184485443.134,1043837457533.34
2019-03-13,4690006487639.392,1673905221213.8887,1014028300683.38
2019-03-14,5209862464378.131,1655646231798.3406,1130308153119.06
2019-03-15,5082638099084.577,1677175876611.2576,1066309150221.08
2019-03-16,4902440653487.429,3052178234074.8804,1810672474754.23
2019-03-17,5434377942412.219,2233472065715.8613,1416079493882.8
2019-03-18,5481296460378.594,2453238481647.636,1241810221000.68
2019-03-19,4847779050293.864,1746924511045.5664,958219403023.23
2019-03-20,4874614445309.962,,999998282834.96
2019-03-21,4336255583807.5776,1933789848980.7346,1116238353109.79
2019-03-22,4861233328043.033,3142065788761.898,1077512108824.48
2019-03-23,5440353156820.634,2964683724805.9087,1794625224309.83
2019-03-24,4946833829198.905,2692358869288.6353,2062846531840.27
2019-03-25,4927844723172.52,,1080355856310.71
2019-03-26,4772429251568.59,1696240227528.522,1068311864265.96
2019-03-27,4440309975766.102,1662393990851.7585,893788588303.8
2019-03-28,4488196810935.0205,1749167177653.8591,1065010527332.82
2019-03-29,5039475334643.305,1622733863409.8044,1010556918224.37
2019-03-30,4773368339429.42,1828852883073.27,2094096936583.51
2019-03-31,5785492443157.617,2204023817684.5176,1480657801330.24
2019-04-01,4964054398438.801,1642430644244.5513,1071073251070.0
2019-04-02,4942587945816.595,1632507583871.6794,1128798869691.0
2019-04-03,4224029020478.138,1861197383630.0002,1048666115697.66
2019-04-04,4521502225495.83,1680619407286.8784,942139031023.51
2019-04-05,4750172007944.837,1749541065031.673,1891731720169.97
2019-04-06,4929536911751.073,1752703510885.7722,1926433903461.15
2019-04-07,6035848440226.557,1992812284835.6707,1597767251407.65
2019-04-08,5194854796021.425,1617625750689.4363,973902779746.39
2019-04-09,4695288733444.767,1601975552105.934,1138772382471.96
2019-04-10,4736712145870.958,1369121221104.5889,1020108576906.84
2019-04-11,5293290237796.342,1386367343436.7366,975859509874.01
2019-04-12,4506991301689.812,1349939911502.6997,1292971318665.31
2019-04-13,4926083309491.201,1544380098149.3577,1835863019173.6
2019-04-14,4831995576720.793,1503112135738.779,1802950613560.45
2019-04-15,4987296274638.996,1443096816030.7754,848649403006.97
2019-04-16,4721411466212.821,1303967730851.7314,955870604299.46
