region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value
10000045,Tenal,243473181594.8803,94228838.0485003,86371797360.7372,29693148.6585,291331427173.0,120239460599.21,609923597.432,17597600.3
10000063,Period Basis,2109808418173.0496,719642230.1254998,627174575515.1144,845226871.0674963,411546643180.0,271890385998.9,13515955284.36,1311302754.0
10000051,Cloud Ring,284143778334.6294,220410016.70649981,323886273556.9505,307501273.6059996,60149268355.0,224059824426.87,126481948909.6195,1539760728.0
10000007,Cache,295558182665.439,160278675.8274998,349928076969.094,340620959.4634991,172127140142.0,92345817646.92,81400168979.421,2649686040.0
10000062,Omist,69724359945.165,39496069.354000024,100299448030.0357,71282550.845,269891778011.0,136499756524.67,16431035983.142,5826269161.0
10000018,The Spire,167005370819.9832,131662867.1785,172998892298.3234,122892666.8580001,244358006917.0,59948989568.02,199030103783.0656,7274070837.660001
10000005,Detorid,1415871586719.9727,1967920494.2709968,1342588409492.7136,1622107671.105997,724082205438.0,321118514452.33,1223915676378.1677,10039664150.09
10000061,Tenerifis,518308322568.4779,1008340462.7050002,461989245598.8306,503935415.3084985,290961304839.0,348555487742.44,46045788076.6526,17830080768.45
10000029,Geminate,1716628353137.524,1282547471.361498,1737262930284.3552,1276341508.8264987,815134705687.0,558186302989.32,351657113982.561,33396283878.67
10000066,Perrigen Falls,4259624576416.635,1122063434.633492,3562132299226.5923,1032123569.8374971,595498119609.0,225563407994.94,559622050928.9327,36416387496.399994
10000010,Tribute,1065446084742.6324,950299846.9780005,1132964649293.4482,729114769.8679981,939810525760.0,684702875929.83,1998991641513.0896,42330249207.23
10000059,Paragon Soul,572502225739.8698,696060248.3680007,9158982157886.754,706456940.4599992,146457636835.0,152364090053.53,385780543862.2403,42886134636.64
10000011,Great Wildlands,1467477065615.8838,1200085190.853495,1457412267352.785,1197064346.6094964,43422988759.0,182383743511.38,170858949610.4402,46601477434.1
10000050,Querious,3695888260299.053,2558741299.0394025,3797233260078.807,2448304440.704214,981596468750.0,538169054639.97,708357413805.4072,49918599658.78
10000053,Cobalt Edge,184561953878.4112,92551981.26350003,293120693632.3843,171499991.6559998,352445949263.0,136192167953.54,388136019823.2389,57988460024.17
10000035,Deklein,465198934836.6608,428412096.86450005,403740575094.5043,301939237.2025001,763941278888.0,345267796467.52,1288760392764.9592,59317648509.85999
10000056,Feythabolis,558590591616.7177,950444022.8889993,564685556546.8743,1091199099.6794999,407861662324.0,681796473060.85,106479193158.7897,66488074123.11001
10000070,Pochven,658941867252.3826,194400369.423999,923349541530.9753,316528458.75899875,6933564.0,1269523150223.01,13931090352.3527,72755167873.01001
10000006,Wicked Creek,950991868407.1029,895891760.4564995,962007765159.8818,822730975.2164989,270725441451.0,112712484828.33,444173978119.852,80817575453.33003
10000012,Curse,661549569065.8943,705767656.6024942,633369803763.4731,692952373.3679982,71781994409.0,324125202855.17,137658744914.5687,90682055405.55
10000014,Catch,889010690778.1786,1177369910.5829957,1175738022276.483,2046142664.156195,911842510703.0,561255758904.74,476916316039.2409,100155228017.41002
10000008,Scalding Pass,952841957715.2402,869794151.165998,1083478888208.2697,966597675.1334982,262459269056.0,299935387357.35,722087231676.8597,102446623080.7
10000031,Impass,279493847639.6911,299315768.5859996,268393660372.083,295760733.3164994,202762721328.0,266234681864.98,195705137472.8447,106425379347.84001
10000046,Fade,1732735848693.226,1561722993.968499,1893451792556.5708,1347125278.254496,315307638234.0,207361124008.13,4915832145004.764,118776385402.85002
10000055,Branch,402139019502.292,602100259.1379985,311265196961.8887,684534931.8064998,842201931457.0,277252208426.44,844223269883.796,128076129199.04001
10000044,Solitude,668377512801.3217,430690395.5419995,573968627875.5115,368119842.34649944,31151762856.0,192904366563.44,214573687656.1333,152299632260.35004
10000038,The Bleak Lands,1673098245335.452,987462759.0369927,1462438255394.1963,1092916004.1719956,11301608013.0,237549593837.54,594779349451.4231,167351561425.71997
10000025,Immensea,706828479412.6891,826550977.9979985,744950755940.0475,857519093.2424998,318644293889.0,282314685405.08,256364962929.1969,179385086647.72003
10000022,Stain,968314067677.7839,1127313948.0201974,663094588533.6404,646944478.6284989,213766640286.0,346390615998.44,470468331401.0908,192687454676.53
10000015,Venal,1218397508591.0703,1212001968.8024952,1332080787802.1377,1507099924.6709933,670906129899.0,685167715394.47,133255391007.8286,193404611502.14
10000047,Providence,1228249653082.0525,2470930147.0425177,882656549389.4426,1058232036.9079981,666559021166.0,514924853338.22,1823372300310.1255,231267413424.51007
10000040,Oasa,512813162870.4374,455921616.1014994,347132639610.9527,324384510.21300006,938620291062.0,278847076399.61,624010492062.2415,313422589875.44006
10000069,Black Rise,1309823783486.188,1298406367.6106975,1270255281939.2317,1332560750.3861916,124133065160.0,434274419298.63,640368401241.229,319588133578.23004
10000027,Etherium Reach,1879473862107.3977,1752741573.6899955,1778890813299.3274,1552778623.9294891,743855671427.0,540519827877.98,820398267844.3029,377979681145.6499
10000057,Outer Ring,530301918313.8438,263306568.5798996,154563655125.1034,144391745.80089995,40366299538.0,44642814199.96,137569455973.5587,419935301160.38
10000041,Syndicate,368504963938.9149,266935514.21169928,352198015644.0707,243303322.78719968,133185930978.0,403033787433.78,843499561319.4738,446422395643.1099
10000013,Malpais,4044080838808.938,2601614902.3410177,4947400523564.6045,1923721346.5314865,1064249752363.0,250520000705.33,3286731206149.545,599952283664.2
10000028,Molden Heath,1436394009442.184,1336904987.3524926,886652333363.6747,1297172233.965997,100990971604.0,253169373247.4,343614202133.0564,607500799138.1699
10000023,Pure Blind,2515347680113.3247,2095047936.311487,1502079441535.0918,1810050560.5886962,742983817169.0,894083273359.27,1570199895099.8801,783313213984.5701
10000036,Devoid,3688154117208.35,5235421502.082076,3555422865395.236,5124415944.560104,43292545007.0,403372004819.02,279191590137.2654,867713749789.6498
10000049,Khanid,2843193207463.621,2709304424.2405386,2580629917350.5596,2514700063.9365096,120550091843.0,273497297052.11,300501446341.8164,916914978333.16
10000021,Outer Passage,2893272868838.6606,311793712.25099987,357368926758.2211,238583118.55049995,862207189489.0,444433240454.19,1398967819731.4634,1042223333165.0299
10000048,Placid,1710044019522.8833,2330896283.716193,1820401135470.0776,2918093048.190517,73561564111.0,527960358863.52,3033379016341.3413,1139447756005.4001
10000039,Esoteria,9635564794182.354,1759869083.650995,1531014173912.4414,2346267541.6690025,478315445750.0,1276988875502.46,552727439578.8763,1223223521352.5098
10000052,Kador,2503061250314.658,2375071279.2624874,2483118605373.1235,2328580943.790996,237492415364.0,274964335333.7,1200501762589.1792,1244504573399.63
10000065,Kor-Azor,2425994336752.582,3362716812.785511,2585899481346.41,3346302140.8605404,134930854082.0,189425810117.65,580932147654.112,1676058012405.0598
10000001,Derelik,4932783531962.331,5841721064.044066,4597374114060.717,5826225475.221642,79647839143.0,306482467859.11,762649391375.9247,1772067240513.8901
10000037,Everyshore,3116670639975.4414,4751207439.441019,3050904035201.782,4311383710.91904,137252250547.0,161350497256.67,996899672737.2173,1935443942198.0798
10000054,Aridia,1159692643433.2214,915701519.7639995,1197186403118.5967,959291366.942999,88626918760.0,172428067812.56,289703074772.7127,2023375352487.0095
10000067,Genesis,7711165005960.511,9939082726.147682,7732720311562.825,9788940904.349201,261882780539.0,1022406317464.66,874635755914.418,2630350032919.0503
10000058,Fountain,532627374237.3184,633027874.4216998,867592082857.3573,892236555.0646989,1656306021411.0,873987817491.85,3118678057289.2637,2993514078735.079
10000068,Verge Vendor,2217978826618.189,3412067876.8040333,1915136695065.681,2872727433.8135448,82841463145.0,170220682853.71,1070953282255.4705,3227453745237.0605
