wormhole_class,item_category,import_or_export,total
Class 1,Blue loot,Exports,2680699966059.9136
Class 1,Blue loot,Imports,2641784203155.626
Class 1,Gas,Exports,344364235647.12683
Class 1,Gas,Imports,184656690522.3712
Class 1,Materials,Exports,1995816301707.5735
Class 1,Materials,Imports,1789917538078.3337
Class 2,Blue loot,Exports,8630699885491.168
Class 2,Blue loot,Imports,8485596555363.895
Class 2,Gas,Exports,849731088849.9656
Class 2,Gas,Imports,905874057526.0931
Class 2,Materials,Exports,5237828631847.738
Class 2,Materials,Imports,5011438482818.88
Class 3,Blue loot,Exports,10952685078396.082
Class 3,Blue loot,Imports,9364692946336.463
Class 3,Gas,Exports,1000543234866.0977
Class 3,Gas,Imports,550461323581.394
Class 3,Materials,Exports,4959666485934.026
Class 3,Materials,Imports,4472144380184.942
Class 4,Blue loot,Exports,9809814162415.086
Class 4,Blue loot,Imports,8748770839241.463
Class 4,Gas,Exports,653617866074.5681
Class 4,Gas,Imports,885919308717.3522
Class 4,Materials,Exports,2595413421556.665
Class 4,Materials,Imports,2494508048124.7534
Class 5,Blue loot,Exports,20690771991235.85
Class 5,Blue loot,Imports,5293631137771.118
Class 5,Gas,Exports,1092771612145.0848
Class 5,Gas,Imports,348391602169.834
Class 5,Materials,Exports,3117807151950.221
Class 5,Materials,Imports,2447928847162.1987
Class 6,Blue loot,Exports,8578160191426.943
Class 6,Blue loot,Imports,3275371726001.5547
Class 6,Gas,Exports,229050596466.5613
Class 6,Gas,Imports,112280310393.3163
Class 6,Materials,Exports,998567118546.3179
Class 6,Materials,Imports,730012651257.6417
